"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3255","User login with correct email and password","tests.authentication","Wed Nov 12 11:56:36 UTC 2025","passed","Wed Nov 12 11:56:39 UTC 2025","TestAuthorization","test_authorization","",""
"","1806","User login with wrong email or password","tests.authentication","Wed Nov 12 11:56:36 UTC 2025","passed","Wed Nov 12 11:56:37 UTC 2025","TestAuthorization","test_authorization","",""
"","0","test_regression_case","tests.pytest","Wed Nov 12 11:56:46 UTC 2025","passed","Wed Nov 12 11:56:46 UTC 2025","","test_markers","",""
"","1304","Navigation from login page to registration page","tests.authentication","Wed Nov 12 11:56:40 UTC 2025","passed","Wed Nov 12 11:56:41 UTC 2025","TestAuthorization","test_authorization","",""
"","1664","User login with wrong email or password","tests.authentication","Wed Nov 12 11:56:38 UTC 2025","passed","Wed Nov 12 11:56:39 UTC 2025","TestAuthorization","test_authorization","",""
"","1423","User login with wrong email or password","tests.authentication","Wed Nov 12 11:56:39 UTC 2025","passed","Wed Nov 12 11:56:41 UTC 2025","TestAuthorization","test_authorization","",""
"","0","test_forgot_password_link","tests.pytest","Wed Nov 12 11:56:46 UTC 2025","passed","Wed Nov 12 11:56:46 UTC 2025","TestUserInterface","test_markers","",""
"","1608","Check displaying of dashboard page","tests.dashboard","Wed Nov 12 11:56:44 UTC 2025","passed","Wed Nov 12 11:56:46 UTC 2025","TestDashboard","test_dashboard","",""
"","0","test_password_reset","tests.pytest","Wed Nov 12 11:56:46 UTC 2025","passed","Wed Nov 12 11:56:46 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Wed Nov 12 11:56:46 UTC 2025","passed","Wed Nov 12 11:56:46 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Wed Nov 12 11:56:46 UTC 2025","passed","Wed Nov 12 11:56:46 UTC 2025","","test_markers","",""
"","2296","Create course","tests.courses","Wed Nov 12 11:56:44 UTC 2025","passed","Wed Nov 12 11:56:46 UTC 2025","TestCourses","test_courses","",""
"","1564","Registration with correct email, username and password","tests.authentication","Wed Nov 12 11:56:41 UTC 2025","passed","Wed Nov 12 11:56:42 UTC 2025","TestRegistration","test_registration","",""
"","1437","Check displaying of empty courses list","tests.courses","Wed Nov 12 11:56:43 UTC 2025","passed","Wed Nov 12 11:56:44 UTC 2025","TestCourses","test_courses","",""
"","0","test_login","tests.pytest","Wed Nov 12 11:56:46 UTC 2025","passed","Wed Nov 12 11:56:46 UTC 2025","TestUserAuthentication","test_markers","",""
